date,qsim,year,month,qobs
1990-01-01,20.23774953135293,1990,1,
1990-01-02,76.55528610410774,1990,1,
1990-01-03,126.13805981842154,1990,1,
1990-01-04,142.82322310414767,1990,1,
1990-01-05,142.3248085844181,1990,1,
1990-01-06,139.3490974193787,1990,1,
1990-01-07,136.97544135431764,1990,1,
1990-01-08,132.15833712671144,1990,1,
1990-01-09,130.4905639583603,1990,1,
1990-01-10,129.95165548390543,1990,1,
1990-01-11,123.78488400711204,1990,1,
1990-01-12,116.2118046159111,1990,1,
1990-01-13,113.14610196687164,1990,1,
1990-01-14,113.8099823394781,1990,1,
1990-01-15,114.92405422358163,1990,1,
1990-01-16,117.76945119159711,1990,1,
1990-01-17,117.04136375813448,1990,1,
1990-01-18,113.6645864008397,1990,1,
1990-01-19,110.38529433509724,1990,1,
1990-01-20,105.46292361440123,1990,1,
1990-01-21,100.41272990324376,1990,1,
1990-01-22,96.3876214250772,1990,1,
1990-01-23,118.16676348137064,1990,1,
1990-01-24,139.0973870240234,1990,1,
1990-01-25,141.27971024086574,1990,1,
1990-01-26,141.22254405168115,1990,1,
1990-01-27,125.17058760382588,1990,1,
1990-01-28,110.34576917297882,1990,1,
1990-01-29,103.36820225349662,1990,1,
1990-01-30,102.01537218216365,1990,1,
1990-01-31,97.2002834693095,1990,1,
1990-02-01,96.58876250622738,1990,2,
1990-02-02,101.15874924707964,1990,2,
1990-02-03,103.25353938902566,1990,2,
1990-02-04,100.12509274435185,1990,2,
1990-02-05,92.87857911404048,1990,2,
1990-02-06,87.69241784162176,1990,2,
1990-02-07,84.9585366873196,1990,2,
1990-02-08,83.22016482715844,1990,2,
1990-02-09,82.65669957202162,1990,2,
1990-02-10,98.27676509452034,1990,2,
1990-02-11,122.26837355656323,1990,2,
1990-02-12,125.60050852770804,1990,2,
1990-02-13,133.8198991446886,1990,2,
1990-02-14,180.66577443817505,1990,2,
1990-02-15,237.67930500842988,1990,2,
1990-02-16,247.8196671915803,1990,2,
1990-02-17,226.87697755590787,1990,2,
1990-02-18,199.6607840984928,1990,2,
1990-02-19,177.35757537672805,1990,2,
1990-02-20,161.12301397831416,1990,2,
1990-02-21,149.19682269706573,1990,2,
1990-02-22,140.00929649432703,1990,2,
1990-02-23,132.42590014466722,1990,2,
1990-02-24,125.84084655394533,1990,2,
1990-02-25,121.90781913519682,1990,2,
1990-02-26,140.86192842498068,1990,2,
1990-02-27,175.9107669670503,1990,2,
1990-02-28,219.4664425558831,1990,2,
1990-03-01,272.8331599046356,1990,3,
1990-03-02,305.1754112270344,1990,3,
1990-03-03,297.95818503731886,1990,3,
1990-03-04,267.60992392236125,1990,3,
1990-03-05,234.4732803561615,1990,3,
1990-03-06,206.981169955416,1990,3,
1990-03-07,185.9670855715281,1990,3,
1990-03-08,169.17729654566355,1990,3,
1990-03-09,155.44656049041066,1990,3,
1990-03-10,144.90202927760308,1990,3,
1990-03-11,136.7973193950522,1990,3,
1990-03-12,130.09122437066753,1990,3,
1990-03-13,124.22399829518314,1990,3,
1990-03-14,119.06902329293372,1990,3,
1990-03-15,114.8604347486032,1990,3,
1990-03-16,111.57195618090566,1990,3,
1990-03-17,108.04421820456324,1990,3,
1990-03-18,104.3133156338571,1990,3,
1990-03-19,100.89073583161938,1990,3,
1990-03-20,97.8891859934637,1990,3,
1990-03-21,95.29346631833587,1990,3,
1990-03-22,93.15330380469858,1990,3,
1990-03-23,90.96152385754684,1990,3,
1990-03-24,88.85664806989816,1990,3,
1990-03-25,86.8748616872392,1990,3,
1990-03-26,85.22953089813598,1990,3,
1990-03-27,83.68643387623001,1990,3,
1990-03-28,82.54643405148902,1990,3,
1990-03-29,86.23476652254423,1990,3,
1990-03-30,89.34851700711145,1990,3,
1990-03-31,87.32260991330789,1990,3,
1990-04-01,83.99043175165971,1990,4,
1990-04-02,81.37756324376925,1990,4,
1990-04-03,80.40424953749415,1990,4,
1990-04-04,81.94264971728562,1990,4,
1990-04-05,82.45480845153158,1990,4,
1990-04-06,80.53354794138514,1990,4,
1990-04-07,78.29540643020192,1990,4,
1990-04-08,76.67971662599872,1990,4,
1990-04-09,75.06588876847013,1990,4,
1990-04-10,73.51879016181691,1990,4,
1990-04-11,72.1263582914872,1990,4,
1990-04-12,71.06444724181203,1990,4,
1990-04-13,72.14370565293542,1990,4,
1990-04-14,79.69974294627629,1990,4,
1990-04-15,89.55242571161762,1990,4,
1990-04-16,90.1925260251465,1990,4,
1990-04-17,87.7991863341942,1990,4,
1990-04-18,85.22279888618102,1990,4,
1990-04-19,84.58667326701239,1990,4,
1990-04-20,83.07492473503923,1990,4,
1990-04-21,80.38460297568942,1990,4,
1990-04-22,80.67447905463132,1990,4,
1990-04-23,82.1848111321972,1990,4,
1990-04-24,82.58788480860518,1990,4,
1990-04-25,83.43390995969075,1990,4,
1990-04-26,81.604627187107,1990,4,
1990-04-27,78.59668160580803,1990,4,
1990-04-28,76.10245309919111,1990,4,
1990-04-29,74.23354887682702,1990,4,
1990-04-30,72.52617982172303,1990,4,
1990-05-01,70.83735147723384,1990,5,
1990-05-02,69.23018522252629,1990,5,
1990-05-03,67.72475488887396,1990,5,
1990-05-04,66.31314536487368,1990,5,
1990-05-05,64.98575409778643,1990,5,
1990-05-06,63.73442483907966,1990,5,
1990-05-07,62.55221784779636,1990,5,
1990-05-08,61.45492491169838,1990,5,
1990-05-09,60.75598303527329,1990,5,
1990-05-10,62.52495052031595,1990,5,
1990-05-11,64.69999492569923,1990,5,
1990-05-12,63.434575052512166,1990,5,
1990-05-13,61.06156596879131,1990,5,
1990-05-14,59.04296858807732,1990,5,
1990-05-15,57.657605933187206,1990,5,
1990-05-16,56.804359086408034,1990,5,
1990-05-17,56.04623668962315,1990,5,
1990-05-18,55.11890204758991,1990,5,
1990-05-19,54.18882133334804,1990,5,
1990-05-20,53.34497641935994,1990,5,
1990-05-21,52.92770913157377,1990,5,
1990-05-22,55.928841326713474,1990,5,
1990-05-23,57.52771847170855,1990,5,
1990-05-24,58.60258038829364,1990,5,
1990-05-25,58.24127399457052,1990,5,
1990-05-26,57.536159027973405,1990,5,
1990-05-27,55.06585369653691,1990,5,
1990-05-28,52.574024446230005,1990,5,
1990-05-29,51.15970836844938,1990,5,
1990-05-30,50.21343335640547,1990,5,
1990-05-31,49.394868143671744,1990,5,
1990-06-01,51.47561903576239,1990,6,
1990-06-02,52.59313935013364,1990,6,
1990-06-03,61.64385173965669,1990,6,
1990-06-04,71.58656698327637,1990,6,
1990-06-05,64.02141877764774,1990,6,
1990-06-06,55.91163075056112,1990,6,
1990-06-07,61.627620976449066,1990,6,
1990-06-08,81.48132471266895,1990,6,
1990-06-09,92.47897959723456,1990,6,
1990-06-10,85.71909571795942,1990,6,
1990-06-11,75.70609603275405,1990,6,
1990-06-12,69.07400422429886,1990,6,
1990-06-13,64.62861389097628,1990,6,
1990-06-14,61.85917570620987,1990,6,
1990-06-15,59.83868695843383,1990,6,
1990-06-16,57.97073548999887,1990,6,
1990-06-17,56.22730400168634,1990,6,
1990-06-18,54.64633252330543,1990,6,
1990-06-19,56.33495333932236,1990,6,
1990-06-20,65.77492089355356,1990,6,
1990-06-21,76.13025636988613,1990,6,
1990-06-22,75.5684508365347,1990,6,
1990-06-23,70.52067087940702,1990,6,
1990-06-24,64.75195706760734,1990,6,
1990-06-25,60.81462912045576,1990,6,
1990-06-26,58.32598506046349,1990,6,
1990-06-27,59.27816592294005,1990,6,
1990-06-28,60.61515338855668,1990,6,
1990-06-29,65.49304189725113,1990,6,
1990-06-30,85.75008420160368,1990,6,
1990-07-01,96.55941200007597,1990,7,
1990-07-02,85.98793765714801,1990,7,
1990-07-03,75.40881087657671,1990,7,
1990-07-04,75.16337883399713,1990,7,
1990-07-05,94.10006884415098,1990,7,
1990-07-06,106.16339864367664,1990,7,
1990-07-07,104.84090977863924,1990,7,
1990-07-08,103.07526092612066,1990,7,
1990-07-09,98.01193020455324,1990,7,
1990-07-10,91.91565394412844,1990,7,
1990-07-11,85.59192673298683,1990,7,
1990-07-12,80.47565113926713,1990,7,
1990-07-13,76.42636182870648,1990,7,
1990-07-14,72.999224061193,1990,7,
1990-07-15,69.95387916277527,1990,7,
1990-07-16,67.20038929905826,1990,7,
1990-07-17,64.69654917449537,1990,7,
1990-07-18,62.41236376631963,1990,7,
1990-07-19,60.32268623781285,1990,7,
1990-07-20,58.40572712180353,1990,7,
1990-07-21,56.642479098716166,1990,7,
1990-07-22,55.01631194490185,1990,7,
1990-07-23,53.51263937277508,1990,7,
1990-07-24,52.11863838469348,1990,7,
1990-07-25,50.82301152036717,1990,7,
1990-07-26,49.61578472673008,1990,7,
1990-07-27,48.48813496085836,1990,7,
1990-07-28,49.16241809647911,1990,7,
1990-07-29,48.50162377252823,1990,7,
1990-07-30,46.26923819138455,1990,7,
1990-07-31,45.02643437686273,1990,7,
1990-08-01,44.11815482475456,1990,8,
1990-08-02,43.3002178163762,1990,8,
1990-08-03,42.5300856552272,1990,8,
1990-08-04,41.79912267584036,1990,8,
1990-08-05,41.10340601709122,1990,8,
1990-08-06,40.43987242767661,1990,8,
1990-08-07,39.805978505373794,1990,8,
1990-08-08,39.19913671771069,1990,8,
1990-08-09,38.61683583359659,1990,8,
1990-08-10,38.057145173008834,1990,8,
1990-08-11,37.5183664616925,1990,8,
1990-08-12,36.9989053850108,1990,8,
1990-08-13,37.31954718796788,1990,8,
1990-08-14,44.65539020954058,1990,8,
1990-08-15,53.89964135094809,1990,8,
1990-08-16,54.18795581837799,1990,8,
1990-08-17,48.12283752288632,1990,8,
1990-08-18,43.05881522232369,1990,8,
1990-08-19,39.37087917235483,1990,8,
1990-08-20,37.15073220760854,1990,8,
1990-08-21,36.06630342284879,1990,8,
1990-08-22,35.38650058553579,1990,8,
1990-08-23,34.80938982807489,1990,8,
1990-08-24,34.26844462462908,1990,8,
1990-08-25,33.752198077192574,1990,8,
1990-08-26,33.260951452756835,1990,8,
1990-08-27,32.92259200008581,1990,8,
1990-08-28,33.18843068153321,1990,8,
1990-08-29,33.21742063843812,1990,8,
1990-08-30,52.83679585368706,1990,8,
1990-08-31,98.76972263785608,1990,8,
1990-09-01,94.68875027387152,1990,9,
1990-09-02,65.75930363350334,1990,9,
1990-09-03,50.44420636624684,1990,9,
1990-09-04,44.88357912981832,1990,9,
1990-09-05,43.6316245156228,1990,9,
1990-09-06,44.64111234769063,1990,9,
1990-09-07,45.179847724958414,1990,9,
1990-09-08,44.79162586002522,1990,9,
1990-09-09,42.068099788643714,1990,9,
1990-09-10,39.74044895026984,1990,9,
1990-09-11,38.02654226021971,1990,9,
1990-09-12,36.80681624849703,1990,9,
1990-09-13,35.802289219629095,1990,9,
1990-09-14,34.896170991698085,1990,9,
1990-09-15,34.05786131014152,1990,9,
1990-09-16,33.27725710908509,1990,9,
1990-09-17,32.54806373776024,1990,9,
1990-09-18,31.86504412214396,1990,9,
1990-09-19,31.22360248643737,1990,9,
1990-09-20,30.61967275105725,1990,9,
1990-09-21,32.21925370545059,1990,9,
1990-09-22,51.96196565662556,1990,9,
1990-09-23,74.404565138291,1990,9,
1990-09-24,79.54978800494045,1990,9,
1990-09-25,69.89811028166496,1990,9,
1990-09-26,54.35735387333538,1990,9,
1990-09-27,46.602315808500144,1990,9,
1990-09-28,43.389813663313305,1990,9,
1990-09-29,41.50341699105073,1990,9,
1990-09-30,47.49923628044822,1990,9,
1990-10-01,75.89446144925536,1990,10,
1990-10-02,105.22782957585524,1990,10,
1990-10-03,110.26020725293353,1990,10,
1990-10-04,104.39239722158892,1990,10,
1990-10-05,92.23642637742886,1990,10,
1990-10-06,83.62509891738246,1990,10,
1990-10-07,77.2485381468846,1990,10,
1990-10-08,71.84548316155589,1990,10,
1990-10-09,67.44514149341619,1990,10,
1990-10-10,63.7254448167972,1990,10,
1990-10-11,60.44232013201718,1990,10,
1990-10-12,57.4953157890111,1990,10,
1990-10-13,54.83770552097699,1990,10,
1990-10-14,52.43477011980784,1990,10,
1990-10-15,50.28546536300804,1990,10,
1990-10-16,48.97232940195377,1990,10,
1990-10-17,49.594262007972766,1990,10,
1990-10-18,53.34645134191033,1990,10,
1990-10-19,55.19105166332894,1990,10,
1990-10-20,51.76556590299474,1990,10,
1990-10-21,47.98775387311783,1990,10,
1990-10-22,45.60482886067865,1990,10,
1990-10-23,43.902580398867904,1990,10,
1990-10-24,42.44429930992317,1990,10,
1990-10-25,41.34332824897558,1990,10,
1990-10-26,45.510152600633205,1990,10,
1990-10-27,57.17728911142956,1990,10,
1990-10-28,102.24835466601984,1990,10,
1990-10-29,156.5203872166093,1990,10,
1990-10-30,171.3254316246249,1990,10,
1990-10-31,167.5332068330072,1990,10,
1990-11-01,159.17318972812373,1990,11,
1990-11-02,154.93798332772764,1990,11,
1990-11-03,154.0221481299474,1990,11,
1990-11-04,158.18765075758188,1990,11,
1990-11-05,162.78631051723656,1990,11,
1990-11-06,161.0299951049525,1990,11,
1990-11-07,151.320941077474,1990,11,
1990-11-08,136.56691663254637,1990,11,
1990-11-09,121.08454250295124,1990,11,
1990-11-10,110.79602637228818,1990,11,
1990-11-11,114.22254948797438,1990,11,
1990-11-12,121.8857733459128,1990,11,
1990-11-13,135.2171907382516,1990,11,
1990-11-14,148.78749801252863,1990,11,
1990-11-15,155.77318286201202,1990,11,
1990-11-16,162.1941936213903,1990,11,
1990-11-17,167.20230346117,1990,11,
1990-11-18,168.45294664105984,1990,11,
1990-11-19,172.09547212773336,1990,11,
1990-11-20,197.0654533636852,1990,11,
1990-11-21,249.99715726268653,1990,11,
1990-11-22,292.81237210096265,1990,11,
1990-11-23,308.82057392150693,1990,11,
1990-11-24,315.86232395661455,1990,11,
1990-11-25,317.1075501093519,1990,11,
1990-11-26,302.7841387490167,1990,11,
1990-11-27,276.58201817823044,1990,11,
1990-11-28,245.2057255501864,1990,11,
1990-11-29,217.5730280449584,1990,11,
1990-11-30,197.76566764326404,1990,11,
1990-12-01,179.6948622619611,1990,12,
1990-12-02,162.57884223828324,1990,12,
1990-12-03,146.37464380324346,1990,12,
1990-12-04,133.2809411668765,1990,12,
1990-12-05,123.59627805722783,1990,12,
1990-12-06,116.1610505319,1990,12,
1990-12-07,109.8867876328239,1990,12,
1990-12-08,104.31912307659908,1990,12,
1990-12-09,99.33675443320897,1990,12,
1990-12-10,94.8617015924357,1990,12,
1990-12-11,90.82852619164102,1990,12,
1990-12-12,93.4528953984934,1990,12,
1990-12-13,104.36837618557604,1990,12,
1990-12-14,106.10152729069296,1990,12,
1990-12-15,101.37744111634235,1990,12,
1990-12-16,96.07548139929617,1990,12,
1990-12-17,91.4896131038072,1990,12,
1990-12-18,87.42126941505579,1990,12,
1990-12-19,83.77120463657074,1990,12,
1990-12-20,80.48236245940532,1990,12,
1990-12-21,90.04710241937254,1990,12,
1990-12-22,118.89826789580626,1990,12,
1990-12-23,138.8036038162046,1990,12,
1990-12-24,143.1071886880325,1990,12,
1990-12-25,151.96487812045672,1990,12,
1990-12-26,195.8486066748285,1990,12,
1990-12-27,268.35119265152616,1990,12,
1990-12-28,332.58920232698574,1990,12,
1990-12-29,396.6816466958515,1990,12,
1990-12-30,470.0995483907328,1990,12,
1990-12-31,544.9916664537401,1990,12,
1991-01-01,639.260730303629,1991,1,
1991-01-02,738.029712446688,1991,1,
1991-01-03,821.2349495150835,1991,1,
1991-01-04,853.9507992575767,1991,1,
1991-01-05,826.202475751028,1991,1,
1991-01-06,775.1600474101871,1991,1,
1991-01-07,711.6247724716022,1991,1,
1991-01-08,668.0277943966469,1991,1,
1991-01-09,645.6376097345872,1991,1,
1991-01-10,632.7537091427552,1991,1,
1991-01-11,642.146936844094,1991,1,
1991-01-12,637.2790229362028,1991,1,
1991-01-13,601.7509529979637,1991,1,
1991-01-14,533.3330053999297,1991,1,
1991-01-15,450.8315877210369,1991,1,
1991-01-16,375.3135585426842,1991,1,
1991-01-17,313.80878470617546,1991,1,
1991-01-18,267.4350653713421,1991,1,
1991-01-19,233.6187135471741,1991,1,
1991-01-20,208.92379303844191,1991,1,
1991-01-21,191.28730544487595,1991,1,
1991-01-22,183.5066988549912,1991,1,
1991-01-23,178.99451024513772,1991,1,
1991-01-24,171.88236344910084,1991,1,
1991-01-25,163.7467312937041,1991,1,
1991-01-26,155.6626768815813,1991,1,
1991-01-27,148.20879273117566,1991,1,
1991-01-28,141.43826740934998,1991,1,
1991-01-29,135.35420000092105,1991,1,
1991-01-30,129.88771708644222,1991,1,
1991-01-31,124.96116990250574,1991,1,
1991-02-01,120.50560328178214,1991,2,
1991-02-02,116.461784010674,1991,2,
1991-02-03,112.7789100959837,1991,2,
1991-02-04,109.41329752020056,1991,2,
1991-02-05,106.3272719239132,1991,2,
1991-02-06,103.48824887209564,1991,2,
1991-02-07,100.8679693144912,1991,2,
1991-02-08,98.44186173598924,1991,2,
1991-02-09,96.18850803676274,1991,2,
1991-02-10,94.0891946851565,1991,2,
1991-02-11,92.12753424914344,1991,2,
1991-02-12,90.28914523537638,1991,2,
1991-02-13,88.56138041183618,1991,2,
1991-02-14,86.93309558654478,1991,2,
1991-02-15,85.3944522573919,1991,2,
1991-02-16,84.28768518058641,1991,2,
1991-02-17,84.30589090943516,1991,2,
1991-02-18,83.6749660403246,1991,2,
1991-02-19,83.92516628041388,1991,2,
1991-02-20,90.83045597637124,1991,2,
1991-02-21,106.69443330636555,1991,2,
1991-02-22,128.62604792255067,1991,2,
1991-02-23,141.39746442546348,1991,2,
1991-02-24,146.4177434186329,1991,2,
1991-02-25,145.12199826235482,1991,2,
1991-02-26,141.91983179206656,1991,2,
1991-02-27,139.72195197836837,1991,2,
1991-02-28,139.7559600430137,1991,2,
1991-03-01,138.26990128641822,1991,3,
1991-03-02,137.08190435364358,1991,3,
1991-03-03,136.21022269552358,1991,3,
1991-03-04,134.33341958301614,1991,3,
1991-03-05,129.92089678863115,1991,3,
1991-03-06,124.27514369457602,1991,3,
1991-03-07,119.034842223412,1991,3,
1991-03-08,114.33288199873628,1991,3,
1991-03-09,110.20052026831776,1991,3,
1991-03-10,107.0116776610089,1991,3,
1991-03-11,105.25753131793252,1991,3,
1991-03-12,103.75199176915972,1991,3,
1991-03-13,101.0894766758389,1991,3,
1991-03-14,97.97400138282552,1991,3,
1991-03-15,95.00710187617834,1991,3,
1991-03-16,92.28886854735244,1991,3,
1991-03-17,89.79159018482007,1991,3,
1991-03-18,87.50058844856055,1991,3,
1991-03-19,100.59223241210566,1991,3,
1991-03-20,126.1776492915858,1991,3,
1991-03-21,144.09408503277572,1991,3,
1991-03-22,158.47681158971594,1991,3,
1991-03-23,165.0794158144666,1991,3,
1991-03-24,163.5146933129898,1991,3,
1991-03-25,154.5394675669563,1991,3,
1991-03-26,144.56753185215248,1991,3,
1991-03-27,136.17379577417546,1991,3,
1991-03-28,129.5427684902958,1991,3,
1991-03-29,123.62984399207376,1991,3,
1991-03-30,117.90531949984512,1991,3,
1991-03-31,112.67540413581912,1991,3,
1991-04-01,107.98261455050732,1991,4,
1991-04-02,103.75742358253584,1991,4,
1991-04-03,99.9366545658368,1991,4,
1991-04-04,96.57418813898704,1991,4,
1991-04-05,93.80074793415253,1991,4,
1991-04-06,91.3098453285046,1991,4,
1991-04-07,88.91248050408898,1991,4,
1991-04-08,86.66702602689355,1991,4,
1991-04-09,84.53067749138664,1991,4,
1991-04-10,82.4316932985442,1991,4,
1991-04-11,80.41603413858199,1991,4,
1991-04-12,78.51986827151929,1991,4,
1991-04-13,76.74832065131888,1991,4,
1991-04-14,75.09334189130819,1991,4,
1991-04-15,73.54466581978187,1991,4,
1991-04-16,72.09349284519192,1991,4,
1991-04-17,70.72767632929019,1991,4,
1991-04-18,69.45777808148382,1991,4,
1991-04-19,68.41911106759095,1991,4,
1991-04-20,67.82826530870695,1991,4,
1991-04-21,67.30955774593974,1991,4,
1991-04-22,68.06874209702032,1991,4,
1991-04-23,68.52265260610605,1991,4,
1991-04-24,67.81607897900142,1991,4,
1991-04-25,67.32242141764269,1991,4,
1991-04-26,66.10115905930708,1991,4,
1991-04-27,64.70520993782954,1991,4,
1991-04-28,63.49741339075474,1991,4,
1991-04-29,64.2125174627733,1991,4,
1991-04-30,75.25355516884235,1991,4,
1991-05-01,89.89500874451812,1991,5,
1991-05-02,94.99802260609772,1991,5,
